num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
6635	425255.553342	38.050712	-12.369143	4.678151	17.861344
6637	425257.629736	35.612107	-14.988165	4.651365	20.189028
6639	425259.713179	38.017619	-12.326053	4.669166	18.192649
6641	425261.799486	39.006287	-12.648577	4.672935	15.988684
6643	425263.869305	38.060060	-11.881309	4.708503	19.921395
6645	425265.957138	38.730663	-11.990643	4.692724	13.714606
6647	425268.046327	38.568304	-13.796248	4.701197	17.353249
6649	425270.123742	37.974506	-12.046358	4.693794	17.274943
6651	425272.205546	36.096618	-15.890873	4.665602	14.460122
6653	425274.282979	38.233045	-11.994694	4.665889	17.829991
6655	425276.380322	38.874815	-12.499799	4.658791	14.262362
6657	425278.450022	38.208974	-12.132720	4.662482	18.445912
6659	425280.530727	38.431020	-11.676485	4.670756	16.289108
6661	425282.622905	37.764060	-11.902749	4.658623	17.261764
6663	425284.706349	40.607963	-11.868873	4.675999	16.523923
6665	425286.788172	37.002121	-15.551878	4.656163	15.191014
6667	425288.866646	40.382622	12.394921	4.657669	16.610316
6669	425290.944195	39.799973	-11.574333	4.674359	18.400988
6671	425293.027086	37.666490	-14.627164	4.651159	14.944659
6673	425295.108526	40.957011	11.636110	4.665538	16.626885
6675	425297.193775	40.545759	11.624120	4.665342	15.072430
6677	425299.273943	40.230901	-11.514163	4.682242	18.541393
6679	425301.359690	38.838776	-11.470048	4.661067	15.156667
6681	425303.445593	37.337624	-15.343165	4.649269	17.307718
6683	425305.529218	40.591034	12.260381	4.668866	15.439566
6685	425307.616161	39.288449	-11.173889	4.658350	15.077102
6687	425309.689605	39.261839	-11.369281	4.652698	18.175748
6689	425311.771247	38.985359	-11.241380	4.642025	15.260228
6691	425313.857887	40.638375	11.708090	4.653089	17.697247
6693	425315.943551	39.341314	-10.965701	4.652673	18.644270
6695	425318.027400	41.390442	-13.097622	4.672482	15.862650
6697	425320.100649	42.127662	11.806538	4.656551	18.078621
6699	425322.187027	40.381632	11.427869	4.644464	15.582836
6701	425324.275443	38.491040	-10.802094	4.654265	18.176038
6703	425326.359376	41.076089	11.153228	4.650713	18.091179
6705	425328.438802	40.816191	11.362177	4.638264	16.546016
6707	425330.515716	41.466689	11.305604	4.649257	18.258306
6709	425332.596562	39.633003	-10.846872	4.638699	16.638739
6711	425334.678968	39.502172	-10.998690	4.630418	18.595949
6713	425336.759272	39.596026	-10.794603	4.639815	16.131774
6715	425338.845945	38.603250	-10.942394	4.629513	16.436185
6717	425340.926403	39.003789	-10.689503	4.655685	18.487818
6719	425343.009217	39.648031	-10.768618	4.638607	17.504557
6721	425345.094614	40.435052	-10.636626	4.645586	16.872864
6723	425347.181732	39.874350	-10.921431	4.643520	17.517482
6725	425349.266683	39.350491	-10.635576	4.623917	19.318460
6727	425351.348249	39.269352	-10.484930	4.625142	16.704748
6729	425353.426159	39.345453	-10.480005	4.652039	16.441602
6731	425355.504374	40.071981	-10.367832	4.657959	18.039819
6733	425357.589785	39.876389	-10.626810	4.648041	17.282110
6735	425359.680797	39.969409	-10.576092	4.624129	16.847248
6737	425361.761441	39.859133	-10.408516	4.621392	18.613037
6739	425363.841835	41.192133	-10.238666	4.644177	16.603528
6741	425365.919949	39.911135	-10.459011	4.630829	19.891020
6743	425367.999266	38.615085	-13.718268	4.616582	17.584089
6745	425370.087354	40.243678	-10.232636	4.624802	16.200016
6747	425372.172988	40.373292	-10.393785	4.634421	20.563678
6749	425374.254642	39.548220	-10.337580	4.616824	21.055836
6751	425376.338809	42.340993	10.685718	4.630783	18.112631
6753	425378.422939	42.414842	11.030447	4.645889	17.917743
6755	425380.507324	40.549827	-10.080512	4.616273	17.972192
6757	425382.584657	39.605221	-12.609026	4.633279	19.450579
6759	425384.664197	42.188003	10.524600	4.617915	18.284441
6761	425386.746849	42.206668	10.671275	4.615247	17.611332
6763	425388.826262	40.666079	-10.040865	4.606470	17.067221
6765	425390.909662	40.270770	-10.065837	4.604748	19.194745
6767	425392.995590	42.436489	10.785252	4.628332	17.585342
6769	425395.083800	40.653669	-9.828320	4.610686	18.407655
6771	425397.165901	39.704619	-13.028729	4.580897	17.980428
6773	425399.245274	42.888030	11.367735	4.629945	17.869064
6775	425401.323461	40.984900	-9.568291	4.606795	19.937238
6777	425403.403195	41.881966	-9.966546	4.624070	19.997391
6779	425405.489534	38.757066	-13.286810	4.603248	19.707981
6781	425407.573620	41.160619	-9.756480	4.595042	18.978656
6783	425409.660116	41.524154	-9.514292	4.623804	19.858175
6785	425411.745320	41.152651	-9.814909	4.601865	18.224714
