time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
427052.096360	7.835440	0.010000	0.783559	169
427053.094785	15.439330	0.010021	1.540760	170
427054.142190	11.224543	0.010020	1.120198	171
427055.190395	9.268053	0.010025	0.924455	172
427056.238140	10.086055	0.010023	1.006292	173
427057.255169	11.426182	0.010022	1.140114	174
427058.303415	11.712723	0.010029	1.167853	175
427059.353184	9.090876	0.010035	0.905946	176
427060.376686	12.915724	0.010042	1.286202	177
427061.449372	8.061006	0.010019	0.804611	178
427062.497606	8.651321	0.010027	0.862828	179
427063.513517	8.742355	0.010025	0.872019	180
427064.561775	11.830554	0.010030	1.179575	181
427065.578321	11.729671	0.010018	1.170913	182
427066.658812	10.017671	0.010041	0.997645	183
427067.674757	10.788926	0.010052	1.073362	184
427068.723028	12.357355	0.010039	1.230976	185
427069.792029	7.608294	0.010022	0.759128	186
427070.822402	9.536958	0.010021	0.951710	187
427071.813717	13.367810	0.009991	1.338001	188
427072.885419	13.332823	0.010022	1.330297	189
427073.934034	9.594040	0.010012	0.958219	190
427074.982289	12.567144	0.010022	1.254018	191
427076.002115	11.778811	0.010021	1.175426	192
427077.079089	9.543564	0.010059	0.948732	193
427078.095015	10.669115	0.010021	1.064635	194
427079.143298	12.471123	0.010043	1.241794	195
427080.192774	10.270212	0.010011	1.025934	196
427081.241014	9.508247	0.010019	0.948991	197
427082.256971	11.773572	0.010015	1.175608	198
427083.305210	12.401305	0.010025	1.236978	199
427084.353751	8.965240	0.010018	0.894910	200
427085.403397	10.926628	0.010028	1.089649	201
427086.428899	10.184818	0.009997	1.018835	202
427087.522684	7.389779	0.010042	0.735882	203
427088.516363	9.193659	0.010029	0.916743	204
427089.564952	10.880771	0.010028	1.085003	205
427090.611463	8.001204	0.010022	0.798376	206
427091.639533	12.974284	0.010013	1.295801	207
427092.676276	10.390171	0.010017	1.037238	208
427093.759493	9.318601	0.010027	0.929338	209
427094.774241	9.308129	0.010017	0.929270	210
427095.822492	10.612565	0.010025	1.058599	211
427096.838429	10.691963	0.010002	1.068972	212
427097.886692	12.209998	0.010032	1.217137	213
427098.935279	10.457679	0.010037	1.041924	214
427099.983535	11.611227	0.010010	1.159926	215
427101.032960	7.961348	0.010017	0.794751	216
427102.081210	8.421853	0.010019	0.840554	217
427103.098770	10.273188	0.010021	1.025166	218
427104.145391	11.389793	0.010033	1.135222	219
427105.192890	9.414342	0.010003	0.941154	220
427106.243140	9.870988	0.010014	0.985751	221
427107.259098	10.355418	0.010013	1.034165	222
427108.339652	8.813202	0.010042	0.877636	223
427109.355549	8.780966	0.010012	0.877035	224
427110.404159	11.727185	0.010036	1.168490	225
427111.423755	10.955830	0.010021	1.093307	226
427112.502605	8.706902	0.010024	0.868575	227
427113.517427	10.226413	0.010019	1.020729	228
427114.566219	11.776608	0.009998	1.177893	229
427115.614467	9.665907	0.010019	0.964769	230
427116.662750	9.085074	0.010039	0.904953	231
427117.678688	10.585034	0.010024	1.055994	232
427118.728323	11.580802	0.010027	1.154921	233
427119.781217	9.021171	0.009999	0.902230	234
427120.824688	11.475471	0.010019	1.145380	235
427121.839737	11.317739	0.009988	1.133138	236
427122.921783	9.068197	0.010019	0.905115	237
427123.938439	9.049156	0.010026	0.902530	238
427124.985882	11.532924	0.010026	1.150273	239
427126.035358	7.925539	0.009994	0.793002	240
427127.082730	10.085959	0.010027	1.005871	241
427128.123147	7.069351	0.010024	0.705255	242
427129.148093	11.498833	0.010014	1.148309	243
427130.196340	8.286442	0.010009	0.827868	244
427131.244598	10.190656	0.010037	1.015302	245
427132.269668	10.171859	0.010008	1.016422	246
427133.334200	9.888334	0.010034	0.985522	247
427134.358279	9.477849	0.010010	0.946845	248
427135.406492	10.900094	0.010011	1.088805	249
427136.454741	8.049370	0.009998	0.805105	250
427137.526627	8.113564	0.010031	0.808889	251
427138.520327	9.594441	0.010026	0.956995	252
427139.568878	11.880053	0.010021	1.185490	253
427140.617896	8.013043	0.010005	0.800912	254
427141.665215	9.879897	0.010014	0.986636	255
427142.660374	12.109426	0.010007	1.210048	0
427143.729445	12.726363	0.010012	1.271152	1
427144.777139	8.535048	0.010014	0.852346	2
427145.827192	10.526962	0.010012	1.051432	3
427146.843237	10.160919	0.010023	1.013802	4
427147.923644	8.936072	0.010017	0.892095	5
427148.941153	9.862728	0.009989	0.987314	6
427149.987874	10.942259	0.010028	1.091193	7
427151.036148	9.036329	0.010033	0.900704	8
427152.084923	8.907902	0.010036	0.887613	9
427153.100864	10.500707	0.010024	1.047551	10
427154.149402	11.519485	0.010023	1.149280	11
427155.220238	7.502082	0.010049	0.746539	12
427156.246481	10.535793	0.010031	1.050321	13
427157.264329	10.569450	0.010009	1.055949	14
427158.344944	8.296872	0.010023	0.827807	15
427159.360081	8.691033	0.010010	0.868211	16
427160.407094	10.740354	0.010035	1.070267	17
427161.425440	11.086164	0.010017	1.106789	18
427162.480519	11.100902	0.010033	1.106410	19
427163.522430	10.216865	0.010019	1.019706	20
427164.569276	11.125260	0.010011	1.111282	21
427165.618710	8.070838	0.010007	0.806518	22
427166.666967	9.045857	0.010013	0.903420	23
427167.684546	10.897703	0.010011	1.088572	24
427168.731741	11.165219	0.010010	1.115361	25
427169.780044	9.368468	0.010014	0.935584	26
427170.828612	9.545549	0.010013	0.953282	27
427171.878303	8.007775	0.010017	0.799448	28
427172.893319	12.025952	0.010002	1.202324	29
427173.941885	11.784366	0.009998	1.178624	30
427174.990128	9.878456	0.010025	0.985377	31
427176.038390	8.338665	0.010020	0.832205	32
427177.054305	12.294443	0.010003	1.229062	33
427178.101898	10.486418	0.010008	1.047767	34
427179.171083	9.177382	0.010003	0.917466	35
427180.200579	8.853597	0.010009	0.884565	36
427181.249133	8.977911	0.010003	0.897478	37
427182.285247	9.413677	0.010004	0.940991	38
427183.313342	11.589277	0.010005	1.158339	39
427184.361590	9.029043	0.010023	0.900803	40
427185.409157	9.973354	0.010013	0.996057	41
427186.425794	11.664683	0.010056	1.160022	42
427187.507806	8.506247	0.010010	0.849786	43
427188.523846	9.240973	0.010002	0.923898	44
427189.572260	11.276796	0.010000	1.127680	45
427190.619771	7.627646	0.009990	0.763551	46
427191.669211	9.620390	0.010007	0.961326	47
427192.685191	9.557237	0.010004	0.955298	48
427193.733417	11.373506	0.010010	1.136211	49
427194.781705	8.406568	0.010027	0.838423	50
427195.831227	9.539570	0.010007	0.953299	51
427196.879411	7.583476	0.010009	0.757687	52
427197.873427	14.385618	0.010001	1.438429	53
427198.943649	9.510967	0.010011	0.950043	54
427199.991896	9.581956	0.010026	0.955711	55
427201.040145	7.975400	0.010026	0.795464	56
427202.081481	9.616554	0.010015	0.960170	57
427203.105536	9.544005	0.010005	0.953891	58
427204.153741	10.626847	0.010007	1.061936	59
427205.202001	7.911994	0.010026	0.789177	60
427206.251530	9.093756	0.009997	0.909637	61
427207.291448	7.985792	0.010031	0.796092	62
427208.314455	11.712400	0.010012	1.169816	63
427209.363871	8.272170	0.010009	0.826481	64
427210.387794	13.154931	0.010020	1.312817	65
427211.427371	10.444578	0.010008	1.043594	66
427212.510593	8.420126	0.010025	0.839945	67
427213.525081	8.625279	0.009993	0.863092	68
427214.578681	10.371111	0.009982	1.039020	69
427215.622480	7.484668	0.010011	0.747616	70
427216.670211	9.123680	0.010002	0.912145	71
427217.688200	9.331429	0.010006	0.932558	72
427218.735254	11.293627	0.010013	1.127936	73
427219.758998	10.310010	0.010025	1.028396	74
427220.834834	9.427885	0.010002	0.942559	75
427221.847715	9.874330	0.009997	0.987738	76
427222.897140	11.832346	0.010003	1.182852	77
427223.945394	8.239041	0.010011	0.822993	78
427224.993688	10.290981	0.010022	1.026863	79
427226.011025	10.133501	0.010002	1.013116	80
427227.090478	8.575759	0.009988	0.858646	81
427228.111927	8.353755	0.010002	0.835235	82
427229.154999	10.871622	0.010017	1.085335	83
